index,Series,Vol,OI,TrdDate,VolTemp,OITemp
642,THCOM,1,15173,2021-07-22,1,15173
648,THG,496,131,2021-07-22,496,131
654,TISCO,52,940,2021-07-22,52,940
660,TKN,7,10061,2021-07-22,7,10061
666,TOA,557,1574,2021-07-22,557,1574
672,TOP,306,5401,2021-07-22,306,5401
678,TPIPL,514,28904,2021-07-22,514,28904
684,TPIPP,0,7160,2021-07-22,0,7160
690,TQM,23,858,2021-07-22,23,858
696,TRUE,3573,40556,2021-07-22,3573,40556
702,TTA,1853,23234,2021-07-22,1853,23234
708,TTB,8340,252279,2021-07-22,8340,252279
714,TTCL,0,3536,2021-07-22,0,3536
720,TTW,0,4604,2021-07-22,0,4604
726,TU,1018,5653,2021-07-22,1018,5653
732,TVO,1,757,2021-07-22,1,757
738,UNIQ,0,10156,2021-07-22,0,10156
744,VGI,1514,22822,2021-07-22,1514,22822
750,VNG,2,2913,2021-07-22,2,2913
756,VNT,131,2052,2021-07-22,131,2052
762,WHA,1548,41694,2021-07-22,1548,41694
768,WHAUP,1,2153,2021-07-22,1,2153
769,Single Stock,159542,2662946,2021-07-22,159542,2662946
6,AAV,77,9372,2021-07-23,77,9372
12,ADVANC,71,6453,2021-07-23,71,6453
18,AEONTS,0,678,2021-07-23,0,678
24,AMATA,6200,10331,2021-07-23,6200,10331
30,AOT,66,3214,2021-07-23,66,3214
36,AP,501,22180,2021-07-23,501,22180
42,AWC,27,9817,2021-07-23,27,9817
48,BA,20,3385,2021-07-23,20,3385
54,BAM,1104,8266,2021-07-23,1104,8266
60,BANPU,58,44187,2021-07-23,58,44187
66,BAY,0,1554,2021-07-23,0,1554
72,BBL,26,9691,2021-07-23,26,9691
78,BCH,412,9849,2021-07-23,412,9849
84,BCP,204,3967,2021-07-23,204,3967
90,BCPG,923,10883,2021-07-23,923,10883
96,BDMS,300,10272,2021-07-23,300,10272
102,BEAUTY,1000,67585,2021-07-23,1000,67585
108,BEC,3020,28244,2021-07-23,3020,28244
114,BEM,2148,36888,2021-07-23,2148,36888
120,BGRIM,2,13588,2021-07-23,2,13588
126,BH,2,979,2021-07-23,2,979
132,BJC,0,5083,2021-07-23,0,5083
138,BLA,0,1366,2021-07-23,0,1366
144,BLAND,982,258258,2021-07-23,982,258258
150,BPP,10,5886,2021-07-23,10,5886
156,BTS,1644,40418,2021-07-23,1644,40418
162,CBG,1088,16093,2021-07-23,1088,16093
168,CENTEL,0,1975,2021-07-23,0,1975
174,CHG,600,40041,2021-07-23,600,40041
180,CK,5510,11679,2021-07-23,5510,11679
186,CKP,2092,13556,2021-07-23,2092,13556
192,COM7,711,6984,2021-07-23,711,6984
198,CPALL,50,5151,2021-07-23,50,5151
204,CPF,214,38030,2021-07-23,214,38030
210,CPN,22,1997,2021-07-23,22,1997
216,CRC,102,1386,2021-07-23,102,1386
222,DELTA,15,477,2021-07-23,15,477
228,DTAC,1008,6097,2021-07-23,1008,6097
234,EA,741,5207,2021-07-23,741,5207
240,EASTW,0,10901,2021-07-23,0,10901
246,EGCO,47,2295,2021-07-23,47,2295
252,EPG,500,15268,2021-07-23,500,15268
258,ERW,0,6033,2021-07-23,0,6033
264,ESSO,0,8101,2021-07-23,0,8101
270,GFPT,866,11479,2021-07-23,866,11479
276,GLOBAL,100,7193,2021-07-23,100,7193
282,GPSC,50,6124,2021-07-23,50,6124
288,GULF,1,4263,2021-07-23,1,4263
294,GUNKUL,22302,172647,2021-07-23,22302,172647
300,HANA,18,1999,2021-07-23,18,1999
306,HMPRO,0,6911,2021-07-23,0,6911
312,ICHI,18,17575,2021-07-23,18,17575
318,INTUCH,0,337,2021-07-23,0,337
324,IRPC,3069,90570,2021-07-23,3069,90570
330,ITD,21,34252,2021-07-23,21,34252
336,IVL,406,8085,2021-07-23,406,8085
342,JAS,1770,66936,2021-07-23,1770,66936
348,JMT,0,3048,2021-07-23,0,3048
354,KBANK,159,12767,2021-07-23,159,12767
360,KCE,228,4616,2021-07-23,228,4616
366,KEX,330,1139,2021-07-23,330,1139
372,KKP,131,1661,2021-07-23,131,1661
378,KTB,378,22079,2021-07-23,378,22079
384,KTC,1,47753,2021-07-23,1,47753
390,LH,3,7121,2021-07-23,3,7121
396,LPN,2,9754,2021-07-23,2,9754
402,M,520,2990,2021-07-23,520,2990
408,MAJOR,0,7467,2021-07-23,0,7467
414,MBK,0,6178,2021-07-23,0,6178
420,MEGA,2,242,2021-07-23,2,242
426,MINT,707,5901,2021-07-23,707,5901
432,MTC,85,4339,2021-07-23,85,4339
438,OR,7900,7134,2021-07-23,7900,7134
444,ORI,500,23068,2021-07-23,500,23068
450,OSP,5,3791,2021-07-23,5,3791
456,PLANB,0,18078,2021-07-23,0,18078
462,PRM,0,32103,2021-07-23,0,32103
468,PSH,15,1476,2021-07-23,15,1476
474,PSL,4798,10056,2021-07-23,4798,10056
480,PTG,105,14744,2021-07-23,105,14744
486,PTT,13,13800,2021-07-23,13,13800
492,PTTEP,105,1577,2021-07-23,105,1577
498,PTTGC,206,14078,2021-07-23,206,14078
504,QH,0,22957,2021-07-23,0,22957
510,RATCH,5,3875,2021-07-23,5,3875
516,RS,0,87108,2021-07-23,0,87108
522,S,0,36210,2021-07-23,0,36210
528,SAMART,0,8805,2021-07-23,0,8805
534,SAWAD,40,7701,2021-07-23,40,7701
540,SCB,209,2052,2021-07-23,209,2052
546,SCC,201,3559,2021-07-23,201,3559
552,SCGP,300,10850,2021-07-23,300,10850
558,SGP,0,3061,2021-07-23,0,3061
564,SIRI,91,172141,2021-07-23,91,172141
570,SPALI,824,1227,2021-07-23,824,1227
576,SPCG,1,8339,2021-07-23,1,8339
582,SPRC,0,7093,2021-07-23,0,7093
588,STA,706,14701,2021-07-23,706,14701
594,STEC,9,15228,2021-07-23,9,15228
